speaker_id,start_time,end_time,transcribed_content,named_entities,sentiment_score,tone_intensity
SPEAKER_06,119.8s,120.9s," It's driving, out of it.",[],0.0,0.014933654107153416
SPEAKER_04,125.9s,129.0s, I see scooters on both sides of the road.,[],0.0,0.07814059406518936
SPEAKER_05,129.0s,130.4s," Uh, nope, not this one.",[],0.0,0.013528086245059967
SPEAKER_04,132.5s,134.2s, motorcycles,[],0.0,0.04051117226481438
SPEAKER_04,134.7s,136.6s," Ah, yeah, that's on the left side of the road.",[],0.296,0.12603500485420227
SPEAKER_05,135.6s,136.5s," the left side of the road.  Yeah, yeah, yeah.",[],0.6808,0.1501409411430359
SPEAKER_06,138.0s,138.7s, I'm done.,[],0.0,0.024122562259435654
SPEAKER_04,138.7s,139.4s, Passing now.,[],0.0,0.09757997840642929
SPEAKER_06,141.1s,142.5s, How was the practice?,[],0.0,0.011699019931256771
SPEAKER_04,151.1s,151.9s, Do we have any target?,[],0.0,0.06401699781417847
SPEAKER_05,153.4s,157.0s," Not yet. I hit target identified, but...  Yes, Paul.","[{'entity': 'PERSON', 'text': 'Paul'}]",0.5499,0.014710028655827045
SPEAKER_04,161.0s,164.3s, Those motorcyclists were giving me a hand.  There's a car.,[],0.6808,0.05330214649438858
SPEAKER_04,168.2s,170.7s," Uh, pass. Oh, I see it. It's at, uh, 10 o'clock.","[{'entity': 'TIME', 'text': ""10 o'clock""}]",0.0,0.061998460441827774
SPEAKER_04,173.9s,174.8s, I think it is.,[],0.0,0.0315716452896595
SPEAKER_03,174.9s,176.0s, I'm the best at it.,[],0.6369,0.04597475007176399
SPEAKER_04,175.1s,177.8s," on the left side, yeah, mm-hmm.","[{'entity': 'PERSON', 'text': 'mm-hmm'}]",0.296,0.04446743428707123
SPEAKER_06,176.0s,177.1s," Yeah, mm-hmm.","[{'entity': 'PERSON', 'text': 'mm-hmm'}]",0.296,0.05053137615323067
SPEAKER_04,177.9s,178.6s, Passing now.,[],0.0,0.0659736767411232
SPEAKER_06,180.2s,181.5s, We're also passing it out.,[],0.0,0.012387420050799847
SPEAKER_04,189.0s,191.7s, Why is car three so far behind car two?,"[{'entity': 'CARDINAL', 'text': 'three'}, {'entity': 'CARDINAL', 'text': 'two'}]",0.0,0.05956859141588211
SPEAKER_00,212.5s,213.7s, Is the ODS working?,"[{'entity': 'ORG', 'text': 'ODS'}]",0.0,0.018008295446634293
SPEAKER_05,215.0s,217.3s," Yes, sometimes it has a green button there.",[],0.4019,0.030100243166089058
SPEAKER_05,217.9s,219.4s,,[],0.0,0.01426532119512558
SPEAKER_00,220.7s,225.6s," No, you won't see anything, but Jack, you should see something in the passenger seat of the ODS's parking.","[{'entity': 'PERSON', 'text': 'Jack'}, {'entity': 'ORG', 'text': 'ODS'}]",0.0,0.020395928993821144
SPEAKER_03,225.9s,228.5s, There should be a white car right now.,[],0.0,0.043563343584537506
SPEAKER_05,227.7s,228.5s, Right now.,[],0.0,0.04776057228446007
SPEAKER_05,228.5s,229.4s, button here.,[],0.0,0.013571340590715408
SPEAKER_03,229.8s,230.4s, and why,[],0.0,0.04576246440410614
SPEAKER_00,230.5s,231.0s, Crap.,[],-0.3818,0.03365738317370415
SPEAKER_05,231.0s,231.7s, All right.,[],0.0,0.01890844851732254
SPEAKER_03,231.7s,233.4s," STV like a tube, yeah.","[{'entity': 'ORG', 'text': 'STV'}]",0.5719,0.045828927308321
SPEAKER_05,232.6s,233.7s, Now we're looking at it.,[],0.0,0.03530450537800789
SPEAKER_05,234.4s,234.9s, Fight.,[],-0.3818,0.01748540997505188
SPEAKER_05,235.4s,238.7s," Dan, or SUV?  F-E-B-I.  Yeah, SUV.","[{'entity': 'PERSON', 'text': 'Dan'}, {'entity': 'PRODUCT', 'text': 'F-E-B-I.  Yeah'}]",0.296,0.0197729654610157
SPEAKER_04,242.4s,243.1s, I see a camel.,[],0.0,0.03731098771095276
SPEAKER_04,248.8s,256.0s, We got cars coming up. There's a driving white car on the left.,[],0.0,0.05150355026125908
SPEAKER_05,253.2s,253.8s, White car.,[],0.0,0.0852217748761177
SPEAKER_05,256.0s,256.6s,,[],0.0,0.025433994829654694
SPEAKER_04,258.5s,262.4s, But he's not.  Is it?  Passing now.  I think that was it.  Yeah.,[],0.4215,0.048248860985040665
SPEAKER_03,258.6s,259.3s, Uh...,[],0.0,0.07865236699581146
SPEAKER_04,262.5s,269.8s, uh we have another white SUV and yeah passing that one on the left now,"[{'entity': 'CARDINAL', 'text': 'one'}]",0.296,0.043332360684871674
SPEAKER_03,267.9s,268.8s, Yeah.,[],0.296,0.04466242343187332
SPEAKER_04,280.3s,281.7s, Passing military checkpoint.,[],0.0,0.03993982821702957
SPEAKER_03,288.5s,294.6s, There was a truck and there was a tent on the truck.,[],0.0,0.027684105560183525
SPEAKER_06,296.2s,297.2s, and it's got like,[],0.3612,0.012705624103546143
SPEAKER_00,313.6s,316.1s," Jack, do you feel like this has given you enough to?","[{'entity': 'PERSON', 'text': 'Jack'}]",0.3612,0.02475704252719879
SPEAKER_00,316.2s,318.1s, Understand or do you want to continue?,[],0.0772,0.022025831043720245
SPEAKER_03,319.4s,325.0s," Yeah, I think it's, um, how about you, Commander? I think it's enough.",[],0.296,0.038912199437618256
SPEAKER_04,325.0s,328.3s," I mean, I'm having fun, but we can stop if you want to.",[],-0.0516,0.06177155300974846
SPEAKER_03,328.3s,328.9s, You,[],0.0,0.04020550101995468
SPEAKER_04,328.9s,330.2s, Okay.,[],0.2263,0.01995961181819439
SPEAKER_00,330.2s,331.0s,,[],0.0,0.028144685551524162
SPEAKER_02,331.0s,331.5s, Feel it.,[],0.0,0.0252695269882679
SPEAKER_02,331.7s,337.0s," Alright, so, uh, all drivers, all...",[],0.25,0.013033907860517502
SPEAKER_02,337.1s,338.6s," Bo, you've got your foot on the brake.",[],0.0,0.013166042044758797
SPEAKER_04,339.6s,340.7s, Commander breaking out,[],0.0,0.06517565250396729
SPEAKER_04,348.1s,349.3s, Please don't run through me.,[],0.3182,0.07913564145565033
SPEAKER_04,349.3s,350.3s, No.,[],0.0,0.07021234929561615
SPEAKER_04,351.8s,356.4s, We've been rear-ended and parked now.,[],0.0,0.03590325266122818
SPEAKER_00,357.0s,357.6s," Good job, Pete.","[{'entity': 'PERSON', 'text': 'Pete'}]",0.4404,0.028260521590709686
